,name,code,date,open,high,low,close,volume
0,中材国际,600970,2022-01-04,10.44,10.55,10.16,10.32,193140
1,中材国际,600970,2022-01-05,10.27,10.29,9.65,9.8,292175
2,中材国际,600970,2022-01-06,9.73,10.3,9.73,10.16,218341
3,中材国际,600970,2022-01-07,10.2,10.49,10.07,10.14,192678
4,中材国际,600970,2022-01-10,10.15,10.37,10.07,10.1,136916
5,中材国际,600970,2022-01-11,10.1,10.18,9.86,9.93,145193
6,中材国际,600970,2022-01-12,9.96,10.02,9.78,9.86,108668
7,中材国际,600970,2022-01-13,9.85,9.88,9.66,9.68,108780
8,中材国际,600970,2022-01-14,9.68,9.74,9.44,9.47,107519
9,中材国际,600970,2022-01-17,9.5,9.61,9.43,9.52,104026
10,中材国际,600970,2022-01-18,9.57,9.87,9.43,9.72,142951
11,中材国际,600970,2022-01-19,9.63,9.85,9.59,9.7,93166
12,中材国际,600970,2022-01-20,9.73,9.89,9.49,9.64,86578
13,中材国际,600970,2022-01-21,9.61,9.7,9.52,9.57,94648
14,中材国际,600970,2022-01-24,9.56,9.78,9.52,9.69,80351
15,中材国际,600970,2022-01-25,9.63,9.7,9.22,9.22,114628
16,中材国际,600970,2022-01-26,9.39,9.45,9.12,9.31,93584
17,中材国际,600970,2022-01-27,9.37,9.64,9.18,9.24,108559
18,中材国际,600970,2022-01-28,9.42,9.47,8.99,9.26,132453
19,中材国际,600970,2022-02-07,9.45,9.62,9.34,9.49,138802
20,中材国际,600970,2022-02-08,9.51,9.66,9.42,9.64,145069
21,中材国际,600970,2022-02-09,9.58,9.71,9.47,9.65,151469
22,中材国际,600970,2022-02-10,9.57,9.91,9.57,9.71,135251
23,中材国际,600970,2022-02-11,9.69,9.86,9.46,9.55,152834
24,中材国际,600970,2022-02-14,9.51,9.79,9.44,9.51,177809
25,中材国际,600970,2022-02-15,9.49,9.57,9.4,9.52,81943
26,中材国际,600970,2022-02-16,9.58,9.9,9.57,9.79,183597
27,中材国际,600970,2022-02-17,9.79,9.79,9.45,9.5,201977
28,中材国际,600970,2022-02-18,9.45,9.55,9.39,9.5,146563
29,中材国际,600970,2022-02-21,9.5,9.74,9.42,9.63,156952
30,中材国际,600970,2022-02-22,9.62,9.62,9.39,9.46,110113
