,name,code,date,open,high,low,close,volume
0,中材国际,600970,2024-10-09 09:35,11.18,11.19,10.77,10.98,31360
1,中材国际,600970,2024-10-09 09:40,10.99,11.14,10.93,10.98,18913
2,中材国际,600970,2024-10-09 09:45,10.99,11.08,10.96,11.05,14617
3,中材国际,600970,2024-10-09 09:50,11.05,11.15,11.03,11.15,11132
4,中材国际,600970,2024-10-09 09:55,11.14,11.22,11.08,11.1,17584
5,中材国际,600970,2024-10-09 10:00,11.11,11.12,10.98,11.0,15315
6,中材国际,600970,2024-10-09 10:05,11.0,11.03,10.93,11.01,17781
7,中材国际,600970,2024-10-09 10:10,11.01,11.05,10.96,10.97,11824
8,中材国际,600970,2024-10-09 10:15,10.97,11.04,10.97,10.99,8370
9,中材国际,600970,2024-10-09 10:20,11.0,11.02,10.95,10.97,9807
10,中材国际,600970,2024-10-09 10:25,10.99,11.01,10.96,10.96,5483
11,中材国际,600970,2024-10-09 10:30,10.98,11.0,10.93,10.95,5782
12,中材国际,600970,2024-10-09 10:35,10.96,11.0,10.91,10.91,7286
13,中材国际,600970,2024-10-09 10:40,10.91,10.97,10.89,10.9,8173
14,中材国际,600970,2024-10-09 10:45,10.89,11.0,10.89,10.96,4932
15,中材国际,600970,2024-10-09 10:50,10.95,11.0,10.94,10.95,5489
16,中材国际,600970,2024-10-09 10:55,10.95,11.0,10.92,10.92,3365
17,中材国际,600970,2024-10-09 11:00,10.92,10.98,10.88,10.89,4771
18,中材国际,600970,2024-10-09 11:05,10.89,10.97,10.87,10.89,5657
19,中材国际,600970,2024-10-09 11:10,10.89,10.9,10.8,10.81,7514
20,中材国际,600970,2024-10-09 11:15,10.82,10.89,10.8,10.8,7271
21,中材国际,600970,2024-10-09 11:20,10.8,10.8,10.66,10.68,9625
22,中材国际,600970,2024-10-09 11:25,10.65,10.73,10.6,10.71,9434
23,中材国际,600970,2024-10-09 11:30,10.71,10.85,10.71,10.81,4892
24,中材国际,600970,2024-10-09 13:05,10.81,10.96,10.81,10.95,9894
25,中材国际,600970,2024-10-09 13:10,10.95,11.03,10.9,11.0,7989
26,中材国际,600970,2024-10-09 13:15,11.0,11.0,10.9,10.9,3942
27,中材国际,600970,2024-10-09 13:20,10.9,10.99,10.88,10.95,4408
28,中材国际,600970,2024-10-09 13:25,10.95,11.02,10.92,11.01,4745
29,中材国际,600970,2024-10-09 13:30,10.99,11.01,10.96,10.96,2923
30,中材国际,600970,2024-10-09 13:35,10.96,11.04,10.95,11.03,5479
31,中材国际,600970,2024-10-09 13:40,11.03,11.07,11.0,11.02,5702
32,中材国际,600970,2024-10-09 13:45,11.03,11.03,10.92,10.92,4748
33,中材国际,600970,2024-10-09 13:50,10.93,11.0,10.92,10.94,4659
34,中材国际,600970,2024-10-09 13:55,10.95,10.95,10.9,10.93,3035
35,中材国际,600970,2024-10-09 14:00,10.93,10.93,10.88,10.88,3702
36,中材国际,600970,2024-10-09 14:05,10.88,10.94,10.88,10.92,4345
37,中材国际,600970,2024-10-09 14:10,10.91,10.95,10.86,10.86,4191
38,中材国际,600970,2024-10-09 14:15,10.86,10.91,10.86,10.88,3552
39,中材国际,600970,2024-10-09 14:20,10.88,10.89,10.86,10.87,3651
40,中材国际,600970,2024-10-09 14:25,10.86,10.87,10.82,10.86,3695
41,中材国际,600970,2024-10-09 14:30,10.86,10.93,10.86,10.87,4435
42,中材国际,600970,2024-10-09 14:35,10.87,10.88,10.82,10.82,3003
43,中材国际,600970,2024-10-09 14:40,10.82,10.84,10.79,10.83,5934
44,中材国际,600970,2024-10-09 14:45,10.83,10.89,10.77,10.79,6160
45,中材国际,600970,2024-10-09 14:50,10.76,10.78,10.68,10.7,10682
46,中材国际,600970,2024-10-09 14:55,10.69,10.74,10.69,10.73,11857
47,中材国际,600970,2024-10-09 15:00,10.73,10.73,10.71,10.72,4811
48,中材国际,600970,2024-10-10 09:35,10.81,11.18,10.81,10.98,25219
49,中材国际,600970,2024-10-10 09:40,10.96,11.02,10.86,10.95,21612
50,中材国际,600970,2024-10-10 09:45,10.95,11.02,10.93,10.97,12757
51,中材国际,600970,2024-10-10 09:50,10.98,10.98,10.82,10.87,9896
52,中材国际,600970,2024-10-10 09:55,10.86,10.86,10.71,10.72,10427
53,中材国际,600970,2024-10-10 10:00,10.72,10.78,10.71,10.76,14617
54,中材国际,600970,2024-10-10 10:05,10.75,10.81,10.73,10.77,7560
55,中材国际,600970,2024-10-10 10:10,10.77,10.81,10.72,10.74,4363
56,中材国际,600970,2024-10-10 10:15,10.74,10.77,10.7,10.72,10340
57,中材国际,600970,2024-10-10 10:20,10.73,10.75,10.62,10.73,7488
58,中材国际,600970,2024-10-10 10:25,10.72,10.76,10.72,10.73,2745
59,中材国际,600970,2024-10-10 10:30,10.72,10.8,10.69,10.76,6175
60,中材国际,600970,2024-10-10 10:35,10.75,10.85,10.75,10.84,4384
61,中材国际,600970,2024-10-10 10:40,10.84,10.89,10.79,10.88,3412
62,中材国际,600970,2024-10-10 10:45,10.87,10.88,10.82,10.86,3026
63,中材国际,600970,2024-10-10 10:50,10.86,10.9,10.81,10.9,3168
64,中材国际,600970,2024-10-10 10:55,10.89,10.97,10.84,10.96,10940
65,中材国际,600970,2024-10-10 11:00,10.96,11.16,10.96,11.1,17443
66,中材国际,600970,2024-10-10 11:05,11.1,11.2,11.06,11.19,12717
67,中材国际,600970,2024-10-10 11:10,11.19,11.26,11.14,11.24,15152
68,中材国际,600970,2024-10-10 11:15,11.25,11.27,11.18,11.27,9114
69,中材国际,600970,2024-10-10 11:20,11.26,11.36,11.26,11.33,16374
70,中材国际,600970,2024-10-10 11:25,11.34,11.35,11.26,11.3,8812
71,中材国际,600970,2024-10-10 11:30,11.29,11.42,11.29,11.35,13641
72,中材国际,600970,2024-10-10 13:05,11.37,11.56,11.37,11.52,30237
73,中材国际,600970,2024-10-10 13:10,11.53,11.54,11.44,11.44,19420
74,中材国际,600970,2024-10-10 13:15,11.44,11.46,11.36,11.37,11250
75,中材国际,600970,2024-10-10 13:20,11.37,11.47,11.37,11.41,10595
76,中材国际,600970,2024-10-10 13:25,11.41,11.45,11.36,11.43,6078
77,中材国际,600970,2024-10-10 13:30,11.43,11.48,11.37,11.44,8569
78,中材国际,600970,2024-10-10 13:35,11.44,11.45,11.4,11.4,6703
79,中材国际,600970,2024-10-10 13:40,11.41,11.45,11.4,11.41,5949
80,中材国际,600970,2024-10-10 13:45,11.43,11.48,11.37,11.47,7515
81,中材国际,600970,2024-10-10 13:50,11.47,11.49,11.43,11.45,7847
82,中材国际,600970,2024-10-10 13:55,11.46,11.46,11.38,11.38,5953
83,中材国际,600970,2024-10-10 14:00,11.38,11.4,11.33,11.4,8156
84,中材国际,600970,2024-10-10 14:05,11.39,11.42,11.28,11.31,8318
85,中材国际,600970,2024-10-10 14:10,11.3,11.35,11.28,11.35,6388
86,中材国际,600970,2024-10-10 14:15,11.35,11.36,11.29,11.3,7903
87,中材国际,600970,2024-10-10 14:20,11.29,11.3,11.22,11.22,5179
88,中材国际,600970,2024-10-10 14:25,11.22,11.28,11.22,11.25,5437
89,中材国际,600970,2024-10-10 14:30,11.25,11.26,11.22,11.22,4060
90,中材国际,600970,2024-10-10 14:35,11.22,11.3,11.22,11.25,6190
91,中材国际,600970,2024-10-10 14:40,11.26,11.27,11.21,11.22,10364
92,中材国际,600970,2024-10-10 14:45,11.22,11.23,11.2,11.21,5846
93,中材国际,600970,2024-10-10 14:50,11.21,11.22,11.19,11.2,13994
94,中材国际,600970,2024-10-10 14:55,11.2,11.22,11.19,11.22,7086
95,中材国际,600970,2024-10-10 15:00,11.22,11.24,11.21,11.22,8013
96,中材国际,600970,2024-10-11 09:35,11.03,11.03,10.8,10.98,26547
97,中材国际,600970,2024-10-11 09:40,10.98,11.02,10.85,10.92,16346
98,中材国际,600970,2024-10-11 09:45,10.94,10.98,10.9,10.97,10503
99,中材国际,600970,2024-10-11 09:50,10.96,11.01,10.9,10.98,7152
100,中材国际,600970,2024-10-11 09:55,10.98,11.03,10.91,10.92,8650
101,中材国际,600970,2024-10-11 10:00,10.91,10.96,10.89,10.96,8529
102,中材国际,600970,2024-10-11 10:05,10.94,10.94,10.87,10.92,8791
103,中材国际,600970,2024-10-11 10:10,10.93,10.95,10.88,10.91,9815
104,中材国际,600970,2024-10-11 10:15,10.92,10.97,10.9,10.96,7578
105,中材国际,600970,2024-10-11 10:20,10.95,10.95,10.91,10.94,6913
106,中材国际,600970,2024-10-11 10:25,10.94,11.01,10.92,11.01,5374
107,中材国际,600970,2024-10-11 10:30,11.0,11.01,10.96,10.97,4053
108,中材国际,600970,2024-10-11 10:35,10.97,11.01,10.96,11.0,3072
109,中材国际,600970,2024-10-11 10:40,11.0,11.02,10.96,10.97,3784
110,中材国际,600970,2024-10-11 10:45,10.97,10.97,10.93,10.94,3293
111,中材国际,600970,2024-10-11 10:50,10.94,10.97,10.94,10.95,2170
112,中材国际,600970,2024-10-11 10:55,10.95,10.96,10.92,10.92,3094
